"id","trade_code","date","high","low","open","close","volume"
"385","AFTABAUTO","2020-08-03","25.3","24","24","25.1","458"
"386","AFTABAUTO","2020-07-30","24.3","23.6","23.6","23.7","190"
"387","AFTABAUTO","2020-07-29","23.6","23.6","23.6","23.6","8"
"388","AFTABAUTO","2020-07-28","23.6","23.6","23.6","23.6","15"
"389","AFTABAUTO","2020-07-27","23.6","23.6","23.6","23.6","23"
"390","AFTABAUTO","2020-07-26","23.6","23.6","23.6","23.6","12"
"391","AFTABAUTO","2020-07-23","23.6","23.6","23.6","23.6","4"
"392","AFTABAUTO","2020-07-22","23.6","23.6","23.6","23.6","8"
"393","AFTABAUTO","2020-07-21","23.6","23.6","23.6","23.6","7"
"394","AFTABAUTO","2020-07-20","23.6","23.6","23.6","23.6","1"
"395","AFTABAUTO","2020-07-19","23.6","23.6","23.6","23.6","14"
"396","AFTABAUTO","2020-07-16","23.6","23.6","23.6","23.6","5"
"397","AFTABAUTO","2020-07-15","23.6","23.6","23.6","23.6","8"
"398","AFTABAUTO","2020-07-14","23.7","23.6","23.6","23.6","41"
"399","AFTABAUTO","2020-07-13","24.1","23.6","24","23.6","122"
"400","AFTABAUTO","2020-07-12","24.4","23.6","23.6","23.9","139"
"401","AFTABAUTO","2020-07-09","24.3","23.6","23.6","23.6","169"
"402","AFTABAUTO","2020-07-08","23.6","23.6","23.6","23.6","1"
"403","AFTABAUTO","2020-07-07","23.6","23.6","23.6","23.6","1"
